=== Using options:--aggressive-branch-removal
0804A06C: warning: Unable to resolve imported reference lame_get_in_samplerate.
0804A95C: warning: Unable to resolve imported reference lame_get_out_samplerate.
0804A7AC: warning: Unable to resolve imported reference lame_get_version.
0804A20C: warning: Unable to resolve imported reference lame_get_num_samples.
0804A20C: warning: Unable to resolve imported reference lame_get_num_samples.
0804A20C: warning: Unable to resolve imported reference lame_get_num_samples.
0804A3BC: warning: Unable to resolve imported reference lame_close.
0804A24C: warning: Unable to resolve imported reference lame_get_VBR_max_bitrate_kbps.
0804A28C: warning: Unable to resolve imported reference lame_get_VBR_min_bitrate_kbps.
0804A1BC: warning: Unable to resolve imported reference lame_get_id3v2_tag.
0804A27C: warning: Unable to resolve imported reference lame_encode_buffer_int.
0804A72C: warning: Unable to resolve imported reference lame_encode_flush_nogap.
0804A62C: warning: Unable to resolve imported reference lame_encode_flush.
0804A7FC: warning: Unable to resolve imported reference lame_get_id3v1_tag.
0804A4DC: warning: Unable to resolve imported reference lame_get_bWriteVbrTag.
0804A31C: warning: Unable to resolve imported reference lame_get_lametag_frame.
0804A4DC: warning: Unable to resolve imported reference lame_get_bWriteVbrTag.
0804A92C: warning: Unable to resolve imported reference lame_get_findReplayGain.
0804A11C: warning: Unable to resolve imported reference lame_get_RadioGain.
0804A49C: warning: Unable to resolve imported reference lame_get_decode_on_the_fly.
0804A16C: warning: Unable to resolve imported reference lame_get_noclipGainChange.
0804A22C: warning: Unable to resolve imported reference lame_get_noclipScale.
0804A45C: warning: Unable to resolve imported reference lame_init_bitstream.
0804A3CC: warning: Unable to resolve imported reference lame_set_nogap_total.
0804A4FC: warning: Unable to resolve imported reference lame_set_nogap_currentindex.
0804AABC: warning: Unable to resolve imported reference lame_get_VBR_mean_bitrate_kbps.
0804AAAC: warning: Unable to resolve imported reference pclose.
0804AA9C: warning: Unable to resolve imported reference lame_get_VBR_q.
0804AA8C: warning: Unable to resolve imported reference id3tag_space_v1.
0804AA5C: warning: Unable to resolve imported reference lame_set_lowpasswidth.
0804AA4C: warning: Unable to resolve imported reference lame_set_copyright.
0804AA3C: warning: Unable to resolve imported reference tolower.
0804AA2C: warning: Unable to resolve imported reference hip_decode1_headersB.
0804AA0C: warning: Unable to resolve imported reference lame_set_scale.
0804A9FC: warning: Unable to resolve imported reference id3tag_set_fieldvalue.
0804A9DC: warning: Unable to resolve imported reference lame_set_highpasswidth.
0804A9CC: warning: Unable to resolve imported reference lame_init.
0804A9BC: warning: Unable to resolve imported reference lame_get_brate.
0804A9AC: warning: Unable to resolve imported reference lame_set_scale_left.
0804A99C: warning: Unable to resolve imported reference lame_set_lowpassfreq.
0804A98C: warning: Unable to resolve imported reference lame_get_force_ms.
0804A97C: warning: Unable to resolve imported reference tgetstr.
0804A96C: warning: Unable to resolve imported reference lame_set_VBR_q.
