=== Using options:--aggressive-branch-removal
subject.exe: warning: Win32 X86-64 main procedure finder not implemented yet.
MSVC RTTI scan found 151 complete object locators
00000001400CA218: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
00000001400C9EAB: warning: Unable to resolve imported reference SHLWAPI.dll!PathIsDirectoryW.
000000014007BECA: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007BECA: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007BED7: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014007BED7: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
000000014007BEE0: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007BEE0: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
000000014007BF7D: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
000000014007BF7D: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
00000001400C8E0F: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400C8E0F: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400C8E1D: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
00000001400C8E1D: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
00000001400C8E2A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400C8E2A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400C8ED5: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
00000001400C8ED5: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
00000001400C8F1B: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400C8F1B: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400C8F29: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
00000001400C8F29: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
00000001400C8F36: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400C8F36: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400C8FE4: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
00000001400C8FE4: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
00000001400C902A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400C902A: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400C9038: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
00000001400C9038: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_8.
00000001400C9045: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400C9045: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_2.
00000001400C90F0: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
00000001400C90F0: warning: Unable to resolve imported reference OLEAUT32.dll!Ordinal_9.
00000001400C8452: warning: Unable to resolve imported reference USER32.dll!SetClassLongPtrW.
00000001400C8488: warning: Unable to resolve imported reference UxTheme.dll!SetWindowTheme.
00000001400C72BB: warning: Unable to resolve imported reference USER32.dll!SetClassLongPtrW.
00000001400C72DB: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
00000001400C72DB: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_71.
00000001400C7307: warning: Unable to resolve imported reference UxTheme.dll!SetWindowTheme.
00000001400C339B: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
00000001400C339B: warning: Unable to resolve imported reference SHELL32.dll!Ordinal_25.
00000001400C2CA0: warning: Unable to resolve imported reference USER32.dll!SetClassLongPtrW.
00000001400C2114: warning: Unable to resolve imported reference USER32.dll!GetWindowLongPtrW.
00000001400BE66F: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
00000001400C1837: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripToRootW.
0000000140077049: warning: Unable to resolve imported reference SHLWAPI.dll!PathRemoveFileSpecW.
0000000140077149: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
0000000140076E99: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_410.
0000000140076E99: warning: Unable to resolve imported reference COMCTL32.dll!Ordinal_410.
0000000140076938: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
0000000140076A78: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
0000000140076B05: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
000000014007655B: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
000000014007656C: warning: Unable to resolve imported reference SHLWAPI.dll!PathRenameExtensionW.
00000001400765CC: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
0000000140075EAF: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
000000014007DFB6: warning: Unable to resolve imported reference SHELL32.dll!SHGetFolderLocation.
0000000140075ECC: warning: Unable to resolve imported reference SHELL32.dll!SHGetDesktopFolder.
0000000140077E1E: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
00000001400780E1: warning: Unable to resolve imported reference SHLWAPI.dll!PathAppendW.
00000001400781B7: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
0000000140077A28: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
0000000140077879: warning: Unable to resolve imported reference SHLWAPI.dll!PathStripPathW.
